Abbrev,Rep,Sp,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,Utility
Wai,2,nd,12.6,8.0,37.0,2.5,3.5,4.0,4.0,4.0,average
Wai,2,ob,22.2,14.6,63.0,5.0,3.0,4.0,4.0,3.2,best
Wai,2,ob,19.6,15.4,100.0,5.0,3.0,5.0,4.3,3.0,best
Wai,2,ov,9.8,7.5,75.0,1.7,1.3,3.3,4.0,3.5,low
Wai,2,pu,15.2,14.4,100.0,4.5,4.0,3.0,4.0,3.0,good
Wai,2,re,19.6,16.6,100.0,5.0,3.0,4.0,4.0,3.0,best
Wai,2,re,17.0,14.1,88.0,4.5,3.0,3.7,3.7,3.7,best
Wai,2,re,26.0,14.0,88.0,5.0,3.5,3.5,4.0,3.3,best
Wai,2,ro,8.9,5.2,63.0,2.5,1.8,3.0,3.0,3.0,none
Wai,2,rd,10.3,7.8,100.0,2.3,2.0,3.0,3.0,3.0,low
Wai,22,si,19.6,12.3,75.0,3.3,3.0,3.3,3.5,3.5,best
Wai,2,sm,20.1,6.9,88.0,3.0,2.5,1.0,0.5,0.0,low
Wai,3,ag,13.5,4.0,13.0,0.5,0.0,1.0,1.0,1.0,none
Wai,3,bxs,14.2,10.8,100.0,3.0,2.8,3.3,3.3,3.0,good
Wai,3,br,13.1,10.6,88.0,2.0,2.0,3.0,3.0,3.0,none
Wai,3,br,9.6,7.0,100.0,2.6,2.0,3.0,3.0,3.0,low
Wai,3,el,18.9,9.0,13.0,2.0,3.5,3.0,3.5,3.0,none
Wai,3,fa,20.0,13.2,75.0,4.5,3.0,4.0,4.0,4.0,best
Wai,3,fa,26.6,13.5,75.0,5.0,3.0,2.5,2.0,1.0,good
Wai,3,fr,23.9,12.7,37.0,4.0,3.0,3.0,3.0,3.0,good
Wai,3,fr,17.8,12.2,63.0,4.7,3.1,3.0,3.0,3.0,good
Wai,3,fr,21.4,12.7,75.0,4.6,4.0,3.0,3.0,3.0,best
Wai,3,jo,7.8,5.3,50.0,1.0,1.5,4.0,4.0,4.0,none
Wai,3,ka,13.1,10.1,100.0,2.0,2.0,2.0,2.0,2.0,low
Wai,3,nd,15.1,12.3,88.0,3.5,3.0,3.3,4.0,4.0,best
Wai,3,ob,24.5,13.5,75.0,5.0,3.0,4.0,4.0,2.5,best
Wai,3,ob,23.7,13.3,88.0,5.0,3.0,3.5,3.5,2.5,best
Wai,3,ov,10.5,7.6,88.0,2.3,2.0,3.0,3.5,3.0,low
Wai,3,pu,14.0,10.3,100.0,3.5,4.0,2.0,3.0,2.0,average
Wai,3,re,21.8,13.8,100.0,5.0,3.0,3.0,3.0,2.0,best
Wai,3,re,16.4,12.1,88.0,4.8,3.0,3.3,3.5,2.0,best
Wai,3,re,17.6,12.4,100.0,3.5,3.3,3.0,3.0,2.0,good
Wai,3,ro,12.2,4.4,75.0,3.0,2.0,3.0,2.5,2.5,low
Wai,3,rd,9.0,6.8,100.0,2.0,1.5,2.0,4.0,3.5,none
Wai,3,si,20.3,13.6,63.0,4.0,2.7,3.0,2.5,2.0,good
Wai,3,sm,8.8,6.3,100.0,2.0,2.0,1.0,2.0,2.0,none
K81,1,ag,2.86,3.2,25.0,2.0,2.0,2.0,2.0,2.0,none
K81,1,bxs,4.49,4.11,44.0,2.5,3.0,3.0,3.0,3.0,low
K81,1,br,9.89,6.68,100.0,3.5,2.0,3.0,4.0,3.0,best
K81,1,jo,5.34,3.05,75.0,2.7,1.0,3.0,4.0,4.0,low
K81,1,fr,3.28,4.07,75.0,2.0,3.0,3.0,3.0,3.0,low
K81,1,fr,7.62,5.39,100.0,3.0,3.0,3.0,3.5,3.0,good
K81,1,fr,6.05,5.39,88.0,4.0,4.0,3.5,3.5,3.5,good
K81,1,nd,6.38,5.07,88.0,3.0,4.0,3.5,4.0,4.0,best
K81,1,ka,6.16,4.3,40.0,3.0,2.0,1.0,1.0,1.0,low
K81,1,ob,19.92,7.37,13.0,2.0,2.5,3.0,3.0,3.0,low
K81,1,ov,3.91,3.91,63.0,2.5,1.5,3.0,4.0,3.0,average
K81,1,pu,10.75,9.26,88.0,4.0,4.0,4.0,4.0,4.0,best
K81,1,re,3.63,5.02,63.0,4.0,3.5,4.0,4.0,3.5,good
K81,1,re,6.14,5.86,75.0,4.0,3.0,4.0,4.0,4.0,best
K81,1,re,5.3,4.88,38.0,3.5,3.0,4.0,4.0,4.0,good
K81,1,si,14.93,9.39,63.0,4.0,3.0,3.0,2.5,2.5,good
K81,1,rd,3.21,3.72,50.0,1.5,2.0,2.0,4.0,4.0,low
K81,1,sm,5.93,6.48,100.0,1.8,1.8,2.0,2.0,3.0,low
K81,1,nc,6.24,4.85,25.0,2.5,4.0,3.0,3.0,3.0,low
K81,2,ag,1.03,2.17,13.0,2.0,2.0,2.0,2.0,2.0,none
K81,2,bxs,6.29,4.62,100.0,3.0,2.5,2.0,2.0,2.5,average
K81,2,br,11.43,7.83,88.0,3.0,2.0,3.5,4.0,4.0,best
K81,2,br,3.98,3.98,75.0,3.0,2.0,3.0,4.0,3.0,average
K81,2,jo,2.8,2.92,75.0,2.5,1.8,3.2,3.5,3.5,low
K81,2,el,6.07,5.89,63.0,3.0,3.0,2.0,2.0,2.5,low
K81,2,fa,4.04,4.66,50.0,2.5,3.0,3.5,3.5,3.5,average
K81,2,fa,11.03,6.25,38.0,3.5,3.5,3.0,2.5,2.0,average
K81,2,fr,12.49,10.12,63.0,4.5,3.0,3.5,3.5,3.5,best
K81,2,fr,9.99,6.83,88.0,4.0,3.0,3.5,3.0,2.5,good
K81,2,fr,17.74,9.99,100.0,5.0,3.0,3.0,2.5,2.0,best
K81,2,nd,2.73,3.77,100.0,2.5,4.0,3.5,4.5,4.0,good
K81,2,ka,2.79,2.9,75.0,2.0,2.0,2.0,2.0,3.0,low
K81,2,ob,9.88,8.94,88.0,4.0,3.0,3.5,3.5,3.5,good
K81,2,ob,8.63,8.21,100.0,4.0,3.0,3.5,3.5,3.5,good
K81,2,ov,4.39,4.03,88.0,1.5,1.5,2.0,2.0,3.0,none
K81,2,pu,7.94,7.77,100.0,3.5,4.0,2.5,4.0,3.3,best
K81,2,re,6.48,6.42,38.0,4.0,3.5,4.0,4.0,3.5,good
K81,2,re,6.28,6.7,100.0,4.0,3.0,4.0,4.0,3.5,good
K81,2,re,11.58,8.37,63.0,4.0,3.5,4.0,4.0,3.5,best
K81,2,si,3.56,4.27,25.0,3.0,3.0,3.0,3.0,3.0,average
K81,2,rd,2.57,3.08,75.0,2.0,2.0,2.0,4.0,3.0,low
K81,2,sm,5.37,5.74,100.0,1.5,1.0,1.5,1.5,2.0,none
K81,2,nc,2.6,3.64,38.0,1.0,2.0,2.0,2.0,3.0,none
K81,3,ag,5.26,5.48,63.0,2.0,1.5,2.0,2.0,2.0,none
K81,3,bxs,4.88,4.11,88.0,3.5,2.5,2.0,2.0,2.0,average
K81,3,br,7.83,6.68,100.0,3.0,1.8,3.5,4.0,4.0,good
K81,3,br,4.62,4.11,88.0,3.0,2.0,2.5,3.5,3.0,average
K81,3,jo,2.29,2.67,75.0,2.5,1.5,3.0,4.0,4.0,low
K81,3,el,7.28,7.45,63.0,4.0,3.0,3.3,3.3,3.0,good
K81,3,fa,16.54,9.93,100.0,5.0,3.3,3.3,2.5,2.0,best
K81,3,fa,10.54,7.84,88.0,4.0,3.3,3.3,3.5,3.5,good
K81,3,fr,3.81,4.73,100.0,3.0,2.7,3.0,3.0,3.5,good
K81,3,fr,11.57,8.41,100.0,4.0,3.0,3.5,3.5,3.5,best
K81,3,fr,13.67,8.81,100.0,4.8,3.0,3.5,3.5,3.0,best
K81,3,nd,7.03,5.99,88.0,3.5,2.7,3.5,4.0,4.0,best
K81,3,ka,7.355,6.995,88.0,2.5,2.0,1.0,1.0,1.0,none
K81,3,ob,7.68,8.0,88.0,4.5,3.0,4.0,4.0,4.0,best
K81,3,ov,3.2,3.56,88.0,1.5,1.8,2.5,3.3,3.5,low
K81,3,pu,6.78,5.62,63.0,3.0,4.0,2.5,3.0,2.0,average
K81,3,re,5.16,5.86,75.0,4.0,3.0,4.0,4.0,4.0,best
K81,3,re,3.35,5.16,100.0,3.0,3.0,4.5,4.0,4.0,good
K81,3,re,3.77,4.88,88.0,4.0,3.5,4.0,4.0,4.0,best
K81,3,rd,4.49,4.49,88.0,2.3,2.0,2.5,4.0,3.0,low
K81,3,sm,6.11,5.74,100.0,2.5,1.5,1.5,1.0,1.0,low
K81,3,nc,3.51,4.68,25.0,1.5,1.5,2.0,2.0,3.0,low
Wak,1,ag,12.0,10.3,38.0,2.8,3.2,2.8,3.2,3.0,low
Wak,1,bxs,15.0,8.4,88.0,3.0,3.0,3.0,3.0,2.0,average
Wak,1,br,13.0,11.1,100.0,3.0,2.0,3.5,3.0,3.0,average
Wak,1,br,8.6,9.5,100.0,2.0,1.5,4.0,4.0,4.0,low
Wak,1,el,8.2,6.6,63.0,4.0,4.0,3.0,3.0,3.0,average
Wak,1,fa,15.7,10.0,100.0,4.0,3.0,2.5,2.5,2.5,good
Wak,1,fa,15.9,8.8,75.0,4.0,3.0,3.0,2.0,2.5,good
Wak,1,fr,13.7,9.9,88.0,4.0,3.0,2.5,2.5,2.5,average
Wak,1,fr,11.2,9.1,88.0,4.0,3.5,3.0,3.5,3.0,good
Wak,1,fr,18.9,11.8,75.0,5.0,3.0,2.5,2.5,2.0,average
Wak,1,nd,11.6,8.9,100.0,4.0,3.0,4.0,4.0,4.0,best
Wak,1,ka,8.6,8.9,100.0,3.0,2.5,2.8,3.0,2.8,low
Wak,1,ob,13.4,12.3,88.0,4.0,3.0,3.5,3.0,2.5,best
Wak,1,ob,19.6,11.8,63.0,5.0,3.0,3.5,3.0,2.0,best
Wak,1,ov,11.1,8.7,88.0,3.0,2.0,3.0,4.0,4.0,good
Wak,1,pu,10.8,10.0,75.0,3.0,4.0,3.0,4.0,3.0,good
Wak,1,re,11.2,12.2,75.0,5.0,3.0,4.0,3.5,3.5,good
Wak,1,re,14.0,13.0,63.0,5.0,3.0,3.0,2.0,2.5,good
Wak,1,re,9.0,9.6,75.0,4.0,3.0,4.0,3.0,2.5,good
Wak,1,re,14.4,12.9,88.0,5.0,3.0,3.0,3.0,2.5,good
Wak,1,nc,8.8,5.3,63.0,3.0,3.0,3.0,4.0,4.0,average
Wak,1,rd,6.5,7.0,50.0,2.5,2.5,3.0,3.0,3.0,low
Wak,1,sm,5.7,5.7,100.0,3.0,2.0,3.0,3.0,3.0,low
Wak,1,jo,8.0,4.9,88.0,3.5,1.5,4.0,4.0,4.0,average
Wak,2,ag,7.3,6.8,2.5,3.5,3.5,3.5,3.5,1.5,none
Wak,2,bxs,6.9,5.6,3.0,3.0,3.0,3.0,3.0,2.0,none
Wak,2,br,7.4,6.6,3.0,2.0,3.0,3.0,3.0,1.0,none
Wak,2,br,6.6,5.4,3.0,2.0,3.0,3.0,3.5,1.5,none
Wak,2,el,7.3,5.6,3.5,3.0,2.5,2.5,2.5,1.5,none
Wak,2,fa,19.6,10.3,3.0,3.0,2.5,2.5,2.0,2.0,none
Wak,2,fa,15.4,15.8,4.0,3.0,3.0,3.0,3.0,3.0,none
Wak,2,fr,15.0,11.6,4.0,3.0,2.0,2.0,2.0,3.0,none
Wak,2,fr,13.9,11.1,5.0,3.0,3.0,2.5,2.0,3.0,none
Wak,2,fr,15.6,12.1,4.0,3.0,3.5,3.0,2.0,3.0,none
Wak,2,nd,7.9,8.6,2.5,3.0,2.5,4.0,3.5,1.0,none
Wak,2,ka,6.6,5.8,2.0,3.0,2.5,2.5,3.0,0.5,none
Wak,2,ob,15.2,12.3,5.0,3.0,4.0,3.5,3.0,4.0,none
Wak,2,ob,17.1,12.1,5.0,3.0,3.5,3.0,3.0,4.0,none
Wak,2,ov,5.5,3.4,2.0,1.0,3.0,2.5,3.0,1.0,none
Wak,2,pu,15.3,12.7,3.0,4.0,2.5,3.0,2.0,3.0,none
Wak,2,re,10.9,9.8,4.0,3.0,2.5,2.0,3.0,4.0,none
Wak,2,re,13.0,10.4,4.0,3.0,3.5,2.5,2.0,4.0,none
Wak,2,re,10.6,10.2,4.0,3.0,3.5,2.5,3.0,3.0,none
Wak,2,re,10.3,10.0,4.0,3.0,4.0,3.0,3.0,3.0,none
Wak,2,nc,3.2,5.9,1.5,3.0,2.0,2.0,2.0,0.0,none
Wak,2,si,15.0,13.0,2.5,3.0,4.0,4.0,4.0,2.0,none
Wak,2,rd,6.8,5.6,2.0,2.0,2.0,3.0,3.0,0.0,none
Wak,2,sm,7.7,6.1,2.0,2.0,2.0,2.0,3.0,0.5,none
Wak,2,jo,3.1,2.9,2.0,1.5,3.0,3.0,3.5,1.0,none
Wak,3,ag,10.5,6.0,25.0,3.0,3.0,2.0,3.0,2.5,low
Wak,3,bxs,1.6,1.8,88.0,1.0,2.0,3.0,3.0,3.0,none
Wak,3,br,4.0,3.2,63.0,2.0,1.5,3.0,3.0,3.0,low
Wak,3,br,3.3,2.7,100.0,1.5,1.0,2.0,3.0,3.0,none
Wak,3,el,9.4,8.5,38.0,3.0,3.0,2.0,1.5,1.0,low
Wak,3,fa,11.0,8.1,100.0,4.0,3.0,2.0,2.0,2.0,best
Wak,3,fa,7.8,5.6,88.0,3.0,3.0,2.0,2.0,2.0,good
Wak,3,fr,10.1,9.5,75.0,3.0,3.0,2.0,2.0,2.0,average
Wak,3,fr,6.9,7.3,88.0,3.5,3.0,3.0,3.5,3.0,good
Wak,3,fr,11.9,9.6,88.0,4.0,3.0,2.5,2.5,2.5,good
Wak,3,nd,10.4,9.4,100.0,4.0,3.0,2.0,3.5,3.0,best
Wak,3,ka,3.5,2.9,75.0,1.0,1.0,3.0,3.0,3.0,none
Wak,3,ob,5.7,5.6,100.0,3.0,2.5,4.0,5.0,4.0,good
Wak,3,ob,10.5,7.5,63.0,3.5,2.5,2.5,2.0,2.5,good
Wak,3,ov,4.3,3.2,100.0,1.5,1.0,2.5,3.5,3.0,none
Wak,3,pu,13.6,7.3,38.0,3.0,3.0,2.0,2.5,2.0,average
Wak,3,re,12.3,8.2,75.0,4.0,3.0,3.0,2.0,2.0,best
Wak,3,re,9.7,7.1,100.0,4.0,3.0,2.0,2.5,2.5,best
Wak,3,re,13.0,9.0,88.0,4.0,3.0,3.5,3.0,3.0,best
Wak,3,nc,4.9,2.8,63.0,2.0,3.0,3.0,3.5,3.5,low
Wak,3,si,6.0,7.0,13.0,3.0,3.0,4.0,4.0,4.0,low
Wak,3,rd,11.8,7.4,88.0,2.5,2.0,2.5,3.0,3.0,average
Wak,3,sm,6.2,5.3,100.0,2.0,2.0,2.5,2.5,3.0,low
Wak,3,jo,1.5,1.8,88.0,1.5,1.0,3.0,4.0,3.0,low
K82,1,bxs,6.02,3.63,38.0,2.5,3.0,3.0,3.0,3.0,low
K82,1,br,2.29,3.2,50.0,1.0,1.0,3.0,3.0,3.0,none
K82,1,br,3.31,4.34,50.0,3.0,2.5,3.0,3.0,3.0,low
K82,1,fa,19.66,12.21,100.0,4.5,4.0,4.0,3.0,2.7,good
K82,1,fa,22.23,12.82,100.0,5.0,4.0,3.0,3.0,2.0,good
K82,1,fr,1.82,2.43,13.0,1.0,2.5,3.0,3.0,3.0,none
K82,1,ka,6.97,5.23,25.0,2.0,3.0,2.5,2.0,3.0,none
K82,1,nd,12.21,8.72,75.0,3.3,3.5,3.0,4.0,3.5,good
K82,1,nd,6.6,8.1,50.0,2.8,4.0,3.0,4.0,3.5,average
K82,1,nd,7.48,3.74,25.0,3.0,3.5,3.0,4.0,3.5,low
K82,1,ov,9.65,8.01,100.0,3.0,2.0,3.0,3.5,3.0,average
K82,1,ov,3.53,3.3,75.0,1.8,2.0,2.5,3.0,3.0,low
K82,1,pu,15.02,8.04,75.0,3.0,4.0,3.0,3.2,2.5,average
K82,1,re,11.27,7.14,75.0,2.5,3.0,3.0,4.0,3.0,average
K82,1,rd,2.72,3.43,50.0,1.0,1.0,2.0,2.0,3.0,none
K82,1,sm,2.1,3.38,50.0,1.0,1.0,3.0,3.0,3.0,none
K82,2,am,7.5,8.08,25.0,2.0,3.0,3.0,4.0,4.0,average
K82,2,am,4.39,5.19,50.0,2.5,3.5,3.0,4.5,4.0,average
K82,2,bxs,12.26,6.81,71.0,4.2,3.0,3.0,2.0,2.0,average
K82,2,br,3.54,3.43,100.0,2.5,2.0,3.3,3.3,3.3,low
K82,2,br,3.09,2.63,75.0,2.5,2.0,3.3,3.3,3.3,low
K82,2,fa,5.5,4.89,25.0,1.5,3.0,3.0,3.0,3.0,low
K82,2,ka,6.97,8.95,75.0,2.0,2.0,3.0,3.0,3.0,low
K82,2,nd,5.73,4.98,75.0,2.7,3.0,3.0,4.0,3.0,low
K82,2,nd,19.44,15.38,75.0,4.5,3.5,3.5,4.0,3.0,best
K82,2,nd,10.97,9.97,75.0,3.5,3.0,3.2,4.0,3.0,good
K82,2,nd,5.86,4.36,75.0,3.0,3.0,3.0,4.0,3.0,average
K82,2,re,17.6,14.08,50.0,5.0,3.5,4.0,4.0,3.5,best
K82,2,re,6.34,6.45,50.0,3.0,3.0,4.0,4.0,4.0,average
K82,2,re,1.17,2.34,25.0,1.0,3.0,3.0,3.0,3.0,none
K82,2,rd,6.97,5.32,50.0,2.0,3.5,2.0,3.0,3.0,none
K82,2,sm,2.1,3.85,25.0,1.0,2.0,3.0,3.0,3.0,none
K82,3,am,11.77,8.08,75.0,3.0,4.0,3.0,4.0,3.0,best
K82,3,bxs,9.65,6.24,25.0,2.8,3.0,3.0,3.0,2.5,low
K82,3,el,0.58,1.75,25.0,1.5,3.0,3.0,3.0,3.0,none
K82,3,ka,11.62,11.62,2.0,2.0,2.0,4.0,3.0,3.0,low
K82,3,ka,9.06,6.97,25.0,1.3,1.0,2.0,2.0,3.0,none
K82,3,ov,15.31,11.77,75.0,3.0,2.0,4.0,4.0,4.0,best
K82,3,ov,7.65,8.24,25.0,2.0,2.0,4.0,4.0,4.0,average
K82,3,ov,6.42,8.24,25.0,3.0,2.0,4.0,4.0,4.0,average
K82,3,re,19.13,13.5,50.0,5.0,4.0,4.0,4.0,3.0,best
K82,3,re,15.26,14.08,25.0,3.0,4.0,4.0,4.0,3.0,best
